Date,Time,Gross,Tare,Net
2025-03-03,0 days 18:52:42,0.220,0.000,0.000
2025-03-03,0 days 18:50:46,0.215,0.000,0.000
2025-03-03,0 days 18:50:35,0.220,0.000,0.000
2025-03-03,0 days 18:50:24,0.230,0.015,0.215
2025-03-03,0 days 18:48:24,0.230,0.015,0.215
2025-03-03,0 days 18:44:13,0.230,0.015,0.215
2025-03-03,0 days 18:44:08,0.230,0.015,0.215
2025-03-03,0 days 18:40:11,0.230,0.015,0.215
2025-03-03,0 days 18:40:05,0.235,0.015,0.220
2025-03-03,0 days 18:32:00,0.140,0.015,0.125
2025-03-03,0 days 18:31:50,0.230,0.015,0.215
2025-03-03,0 days 18:31:44,0.230,0.015,0.215
2025-03-03,0 days 18:29:56,0.235,0.015,0.220
2025-03-03,0 days 18:29:43,0.215,0.000,0.000
2025-03-03,0 days 18:29:25,0.220,0.000,0.000
2025-03-03,0 days 18:06:39,0.235,0.015,0.220
2025-03-03,0 days 18:06:23,0.220,0.000,0.000
2025-03-03,0 days 18:05:40,0.340,0.125,0.215
2025-03-03,0 days 18:05:27,0.125,0.000,0.000
2025-03-03,0 days 18:05:15,0.215,0.000,0.000
2025-03-03,0 days 18:05:06,0.215,0.000,0.000
2025-03-03,0 days 17:02:33,0.250,0.030,0.220
2025-03-03,0 days 17:02:09,0.125,0.000,0.000
2025-03-03,0 days 17:01:48,0.215,0.000,0.000
